Ref,Val,Package,PosX,PosY,Rot,Side
"BR1","DBLS209G_RD","SOP510P1005X293-4N",81.500000,-87.000000,0.000000,top
"C7","33pF NP0 0603","C_0603_1608Metric",104.100000,-76.750000,90.000000,top
"C8","100n 0603","C_0603_1608Metric",98.750000,-78.250000,-90.000000,top
"C9","10n 1210","C_1210_3225Metric",112.500000,-66.000000,180.000000,top
"C10","2u2 50V X7R 1210","C_1210_3225Metric",104.250000,-83.750000,90.000000,top
"C11","10u 50V X7R 1210","C_1210_3225Metric",107.500000,-83.000000,90.000000,top
"C12","10u 50V X7R 1210","C_1210_3225Metric",110.750000,-83.000000,90.000000,top
"C14","220p 0603","C_0603_1608Metric",114.750000,-91.750000,0.000000,top
"C15","100p 0603","C_0603_1608Metric",101.240000,-80.500000,180.000000,top
"C19","10u 50V X7R 1210","C_1210_3225Metric",146.000000,-74.500000,0.000000,top
"C20","10u 50V X7R 1210","C_1210_3225Metric",146.000000,-81.000000,0.000000,top
"C21","10u 50V X7R 1210","C_1210_3225Metric",146.000000,-77.750000,0.000000,top
"C22","100n 0603","C_0603_1608Metric",139.500000,-86.250000,0.000000,top
"C23","10n 0603","C_0603_1608Metric",136.000000,-87.750000,0.000000,top
"C58","33p 1206","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",114.000000,-78.750000,90.000000,top
"C101","220nF 310VAC X2","C_Rect_L13.0mm_W8.0mm_P10.00mm_FKS3_FKP3_MKS4",63.000000,-86.850000,0.000000,top
"C102","220nF 310VAC X2","C_Rect_L13.0mm_W8.0mm_P10.00mm_FKS3_FKP3_MKS4",93.000000,-89.725000,90.000000,top
"C103","4n7 Y2","C_Disc_D12.5mm_W5.0mm_P7.50mm",80.500000,-61.450000,90.000000,top
"C104","4n7 Y2","C_Disc_D12.5mm_W5.0mm_P7.50mm",74.000000,-61.450000,90.000000,top
"C105","400BXW27MEFR10X25","CAPPRD500W60D1025H2700",92.750000,-57.500000,180.000000,top
"C106","220nF 310VAC X2","C_Rect_L13.0mm_W8.0mm_P10.00mm_FKS3_FKP3_MKS4",76.500000,-69.400000,0.000000,top
"C107","100nF 400V MKP4","C_Rect_L19.0mm_W7.0mm_P15.00mm_MKS4",98.000000,-57.500000,0.000000,top
"C108","4n7 Y2","C_Disc_D12.5mm_W5.0mm_P7.50mm",118.250000,-58.000000,0.000000,top
"C109","4n7 Y2","C_Disc_D12.5mm_W5.0mm_P7.50mm",136.250000,-58.000000,0.000000,top
"C110","330µF 35V","CP_Radial_D8.0mm_P3.50mm",154.500000,-80.500000,180.000000,top
"D1","BAT54J","D_SOD-323F",100.000000,-74.000000,0.000000,top
"D2","RGF1M","D_SMA",103.000000,-66.500000,0.000000,top
"D3","BAT54J","D_SOD-323F",105.000000,-87.750000,90.000000,top
"D4","16V","D_SOD-323",111.250000,-88.250000,180.000000,top
"D5","RGF1M","D_SMA",114.750000,-85.750000,90.000000,top
"D6","24V","D_SOD-323",108.000000,-91.000000,180.000000,top
"D7","BAT54J","D_SOD-323F",111.500000,-91.000000,0.000000,top
"D8","BX320_R1","D_SMA",145.250000,-69.250000,-90.000000,top
"D9","5V6","D_SOD-323",136.000000,-91.000000,180.000000,top
"F1","37204000431","37204000431",62.460000,-70.500000,0.000000,top
"H1","MountingHole_Pad","Mounting_M3_NPTH_Vias",54.000000,-54.000000,0.000000,top
"H2","MountingHole_Pad","Mounting_M3_NPTH_Vias",156.000000,-54.000000,0.000000,top
"IC1","NCP12510ASN65T1G","SOT95P275X110-6N",101.500000,-77.500000,90.000000,top
"IC2","SFH6156-3","SOP254P978X406-4N",124.750000,-88.250000,180.000000,top
"IC3","AZ431LANTR","SOT-23",132.500000,-87.250000,0.000000,top
"J1","643495-2","643495-2",54.600000,-69.225000,0.000000,top
"J2","B04B-XASK-1_LF__SN_","B04BXASK1LFSN",155.000000,-65.000000,90.000000,top
"L101","744821039","L_Wurth_WE-CMB-XS_744821039",76.000000,-79.940000,90.000000,top
"L102","7447037","L_Wurth_WE-FI_7447037",91.500000,-69.750000,0.000000,top
"L104","750343466","750343466",120.000000,-65.770000,0.000000,top
"R1","0R47 5% 1206","R_1206_3216Metric",108.250000,-78.250000,-90.000000,top
"R2","1R 5% 1206","R_1206_3216Metric",110.500000,-78.250000,-90.000000,top
"R3","220R 1206","R_1206_3216Metric",116.500000,-71.500000,-90.000000,top
"R4","56R 0805","R_0805_2012Metric",101.250000,-70.500000,90.000000,top
"R5","56R 0805","R_0805_2012Metric",99.250000,-70.500000,90.000000,top
"R6","6k8 0603","R_0603_1608Metric",104.750000,-79.750000,90.000000,top
"R7","390k 1206","R_1206_3216Metric",99.750000,-85.250000,-90.000000,top
"R8","390k 1206","R_1206_3216Metric",99.750000,-90.000000,-90.000000,top
"R9","330k 1206","R_1206_3216Metric",113.250000,-62.500000,180.000000,top
"R10","330k 1206","R_1206_3216Metric",108.500000,-62.500000,180.000000,top
"R11","10R 1206","R_1206_3216Metric",103.250000,-62.500000,180.000000,top
"R12","10k 0603","R_0603_1608Metric",111.250000,-86.250000,180.000000,top
"R14","220R 0603","R_0603_1608Metric",114.750000,-90.250000,0.000000,top
"R15","2k2 0603","R_0603_1608Metric",104.500000,-90.900000,90.000000,top
"R16","390k 0603","R_0603_1608Metric",103.000000,-91.250000,90.000000,top
"R17","1k 0603","R_0603_1608Metric",103.000000,-88.250000,-90.000000,top
"R19","3k3 0603","R_0603_1608Metric",136.000000,-89.250000,180.000000,top
"R20","10k 0603","R_0603_1608Metric",132.250000,-90.000000,0.000000,top
"R21","4k7 0603","R_0603_1608Metric",139.500000,-88.000000,180.000000,top
"R22","4k7 0603","R_0603_1608Metric",139.500000,-89.500000,180.000000,top
"R23","27k 0603","R_0603_1608Metric",136.000000,-86.250000,0.000000,top
"R24","680k 0603","R_0603_1608Metric",143.000000,-87.750000,180.000000,top
"R25","4k7 0603","R_0603_1608Metric",143.000000,-86.250000,0.000000,top
"R26","56R 0805","R_0805_2012Metric",142.750000,-91.000000,0.000000,top
"R83","100k 0603","R_0603_1608Metric",143.000000,-89.250000,180.000000,top
"R84","56k 0603","R_0603_1608Metric",106.250000,-79.000000,90.000000,top
"R85","220R 1206","R_1206_3216Metric",116.500000,-76.000000,-90.000000,top
"RT1","B57235S0509M000","B57235S0509M000",62.500000,-61.250000,0.000000,top
"RV1","B72207S2301K101","B72207S2301K101",67.750000,-80.100000,180.000000,top
"T1","BC817-40","SOT-23",107.750000,-87.500000,90.000000,top
"T101","STD3NK80ZT4","TO-252-2",108.800000,-71.750000,0.000000,top
